filename,label,type
1247_387.72.wav,1,train
4-161127-A-10.wav,0,train
827_10.9.wav,1,train
1332_107.15.wav,1,test
4-163609-B-16.wav,0,val
3-160119-A-15.wav,0,test
4-161105-A-47.wav,0,train
3-177082-A-22.wav,0,train
237_20.03.wav,1,train
190_7.23.wav,1,val
571_54.48.wav,1,test
361_199.6.wav,1,val
1211_140.47.wav,1,train
3-103401-D-33.wav,0,test
532_21.04.wav,1,train
309_0.78.wav,1,train
448_53.25.wav,1,val
435_45.64.wav,1,val
1-101296-B-19.wav,0,val
1165_104.69.wav,1,val
783_104.47.wav,1,test
49_10.19.wav,1,test
1198_241.64.wav,1,train
2-106486-A-44.wav,0,train
4-191297-A-28.wav,0,test
146_18.61.wav,1,test
360_136.28.wav,1,train
2-39945-B-19.wav,0,train
572_29.12.wav,1,train
710_29.49.wav,1,test
1483_17.0.wav,1,train
4-195805-A-13.wav,0,train
5-103420-A-2.wav,0,train
4-160036-A-33.wav,0,train
451_20.08.wav,1,test
177_27.45.wav,1,train
3-143562-A-47.wav,0,test
4-195497-A-11.wav,0,test
5-179496-B-16.wav,0,test
1290_12.26.wav,1,val
467_181.75.wav,1,test
2-37870-A-2.wav,0,val
391_47.51.wav,1,train
1-15689-A-4.wav,0,val
709_186.97.wav,1,train
1027_95.01.wav,1,train
313_149.23.wav,1,train
270_26.13.wav,1,train
1237_328.93.wav,1,train
509_723.46.wav,1,test
892_66.42.wav,1,train
1412_10.05.wav,1,train
657_103.41.wav,1,train
509_172.28.wav,1,train
156_42.81.wav,1,train
5-156999-D-19.wav,0,train
1133_28.28.wav,1,test
1047_81.24.wav,1,val
441_20.07.wav,1,val
2-209477-A-25.wav,0,train
3-68630-B-40.wav,0,test
3-103599-B-25.wav,0,train
4-191687-A-0.wav,0,test
1422_56.45.wav,1,test
1506_86.33.wav,1,train
18_18.5.wav,1,train
542_97.0.wav,1,val
2-158746-D-2.wav,0,train
97_10.46.wav,1,train
1126_31.53.wav,1,val
1115_103.38.wav,1,test
3-156581-A-14.wav,0,test
579_257.92.wav,1,train
1282_25.22.wav,1,test
450_10.1.wav,1,train
1584_10.04.wav,1,test
309_48.17.wav,1,train
5-214759-A-5.wav,0,test
486_17.4.wav,1,train
1419_237.94.wav,1,val
1451_94.02.wav,1,train
362_106.52.wav,1,test
1507_62.07.wav,1,test
231_3.15.wav,1,test
281_1151.98.wav,1,train
334_29.81.wav,1,val
2-106014-A-44.wav,0,val
1265_760.92.wav,1,test
2-65750-A-1.wav,0,test
884_26.0.wav,1,test
933_2.12.wav,1,train
346_165.23.wav,1,val
973_16.86.wav,1,train
4-193480-A-40.wav,0,train
340_122.16.wav,1,train
1469_109.11.wav,1,test
3-140199-B-8.wav,0,test
5-103422-A-2.wav,0,test
5-243783-A-44.wav,0,val
288_10.07.wav,1,val
690_171.54.wav,1,test
652_85.12.wav,1,train
4-175845-A-43.wav,0,train
613_277.36.wav,1,train
734_32.23.wav,1,train
4-207116-A-23.wav,0,test
1586_10.05.wav,1,train
270_16.13.wav,1,train
1013_48.59.wav,1,test
2-110010-A-5.wav,0,val
5-194930-A-1.wav,0,test
1190_92.25.wav,1,val
1011_20.06.wav,1,test
698_530.5.wav,1,train
1151_36.4.wav,1,train
1177_102.53.wav,1,test
121_147.7.wav,1,test
5-177957-E-40.wav,0,test
1535_25.36.wav,1,train
1-155858-C-25.wav,0,test
806_26.85.wav,1,test
199_39.68.wav,1,val
1-208757-C-2.wav,0,test
135_120.29.wav,1,val
370_257.63.wav,1,train
897_251.0.wav,1,test
884_76.0.wav,1,test
521_6.26.wav,1,train
146_8.61.wav,1,train
4-165606-A-45.wav,0,train
400_40.75.wav,1,train
55_141.31.wav,1,train
702_50.04.wav,1,val
468_161.08.wav,1,val
2-114609-A-28.wav,0,train
319_22.98.wav,1,train
5-251957-A-47.wav,0,test
957_45.28.wav,1,train
668_40.01.wav,1,test
892_50.76.wav,1,train
5-262957-A-22.wav,0,val
963_20.54.wav,1,train
3-155642-B-11.wav,0,train
1228_143.91.wav,1,train
3-155583-A-14.wav,0,train
5-208030-A-0.wav,0,test
1-121951-A-8.wav,0,val
1-30709-B-23.wav,0,test
1598_6.38.wav,1,train
156_62.81.wav,1,train
740_20.24.wav,1,train
4-189833-A-22.wav,0,train
4-176914-A-23.wav,0,train
414_22.51.wav,1,test
5-200334-B-1.wav,0,train
806_10.42.wav,1,train
950_47.49.wav,1,test
5-187201-B-4.wav,0,test
3-253084-B-2.wav,0,train
1547_83.8.wav,1,train
2-122104-B-0.wav,0,val
657_88.25.wav,1,train
633_164.68.wav,1,train
949_201.57.wav,1,test
695_25.45.wav,1,train
677_210.56.wav,1,train
676_10.05.wav,1,train
5-241846-A-15.wav,0,test
395_40.51.wav,1,test
756_17.3.wav,1,train
634_2.02.wav,1,test
592_51.33.wav,1,val
4-205526-A-23.wav,0,test
633_60.08.wav,1,val
1-254507-A-43.wav,0,val
5-187444-A-33.wav,0,test
863_30.3.wav,1,val
4-223127-A-14.wav,0,val
1-208757-E-2.wav,0,val
1131_44.71.wav,1,test
329_314.4.wav,1,test
564_26.12.wav,1,val
4-192236-A-0.wav,0,train
4-181362-A-13.wav,0,test
1487_335.07.wav,1,test
854_20.65.wav,1,val
5-248341-B-6.wav,0,test
478_88.62.wav,1,test
1171_18.67.wav,1,train
395_95.13.wav,1,train
330_25.17.wav,1,train
580_78.45.wav,1,train
667_115.39.wav,1,train
4-202749-A-13.wav,0,val
2-119161-B-8.wav,0,train
258_250.08.wav,1,train
5-216216-A-13.wav,0,val
1211_88.46.wav,1,test
926_215.03.wav,1,train
5-200339-A-1.wav,0,test
900_30.09.wav,1,train
1030_33.51.wav,1,val
971_70.16.wav,1,train
1234_251.73.wav,1,train
5-180156-A-43.wav,0,test
1335_70.02.wav,1,test
336_90.04.wav,1,train
1510_146.8.wav,1,test
5-117250-A-2.wav,0,train
832_89.28.wav,1,train
4-180380-A-10.wav,0,train
1583_100.37.wav,1,val
1151_130.49.wav,1,test
756_118.04.wav,1,train
835_87.21.wav,1,train
2-76408-A-22.wav,0,train
